unit,unit_emoji,level,lesson,vi,say,activities,emoji,type,min_age,max_age,de,en,fr,ko,ja,pic
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ma,mã,,,〰️,syllable,5,8,Pferd (Ton ngã: gebrochen steigend),horse (broken rising tone),cheval (ton ngã),말 (ngã 성조),馬（ngã調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ma,mạ,,,⬇️,syllable,5,8,Reissetzling (Ton nặng: tief und kurz),rice seedling (heavy tone),jeune plant de riz (ton nặng),볏모 (nặng 성조),苗（nặng調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: la,la,,listen_pick_tone match listen_repeat,➖,syllable,5,8,"schreien (Ton ngang: ohne Zeichen, gleichbleibend)",to shout (level tone),crier (ton ngang),소리치다 (ngang 성조),叫ぶ（ngang調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: la,lá,,,↗️,syllable,5,8,Blatt (Ton sắc: steigend),leaf (rising tone),feuille (ton sắc),잎 (sắc 성조),葉（sắc調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: la,là,,,↘️,syllable,5,8,sein (Ton huyền: fallend),to be (falling tone),être (ton huyền),~이다 (huyền 성조),～である（huyền調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: la,lả,,,❓,syllable,5,8,"schlaff, erschöpft (Ton hỏi: fallend-steigend)","limp, exhausted (dipping tone)",épuisé (ton hỏi),지친 (hỏi 성조),疲れ切った（hỏi調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: la,lạ,,,⬇️,syllable,5,8,"fremd, seltsam (Ton nặng: tief und kurz)",strange (heavy tone),étrange (ton nặng),낯선 (nặng 성조),見知らぬ（nặng調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: cú,cú,,listen_pick_tone match listen_repeat,↗️,syllable,5,8,Eule (Ton sắc: steigend),owl (rising tone),hibou (ton sắc),부엉이 (sắc 성조),フクロウ（sắc調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: cú,cù,,,↘️,syllable,5,8,kitzeln (Ton huyền: fallend),to tickle (falling tone),chatouiller (ton huyền),간지럽히다 (huyền 성조),くすぐる（huyền調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: cú,củ,,,❓,syllable,5,8,"Knolle, Rübe (Ton hỏi: fallend-steigend)","tuber, root (dipping tone)",tubercule (ton hỏi),뿌리채소 (hỏi 성조),芋（hỏi調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: cú,cũ,,,〰️,syllable,5,8,alt (Ton ngã: gebrochen steigend),old (broken rising tone),vieux (ton ngã),오래된 (ngã 성조),古い（ngã調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: cú,cụ,,,⬇️,syllable,5,8,"Greis, Urgroßeltern (Ton nặng: tief und kurz)","old person, great-grandparent (heavy tone)",personne âgée (ton nặng),어르신 (nặng 성조),お年寄り（nặng調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ta,ta,,listen_pick_tone match listen_repeat,➖,syllable,5,8,"wir, uns (Ton ngang: ohne Zeichen, gleichbleibend)","we, us (level tone)",nous (ton ngang),우리 (ngang 성조),私たち（ngang調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ta,tá,,,↗️,syllable,5,8,Dutzend (Ton sắc: steigend),dozen (rising tone),douzaine (ton sắc),다스 (sắc 성조),ダース（sắc調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ta,tà,,,↘️,syllable,5,8,Schoß (des Áo dài) (Ton huyền: fallend),tail (of a tunic) (falling tone),pan (de l'áo dài) (ton huyền),옷자락 (huyền 성조),衣の裾（huyền調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ta,tả,,,❓,syllable,5,8,beschreiben (Ton hỏi: fallend-steigend),to describe (dipping tone),décrire (ton hỏi),묘사하다 (hỏi 성조),描写する（hỏi調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ta,tã,,,〰️,syllable,5,8,Windel (Ton ngã: gebrochen steigend),nappy (broken rising tone),couche (bébé) (ton ngã),기저귀 (ngã 성조),おむつ（ngã調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ta,tạ,,,⬇️,syllable,5,8,"Gewicht, danken (Ton nặng: tief und kurz)","weight, to thank (heavy tone)","quintal, remercier (ton nặng)","무게 단위, 감사하다 (nặng 성조)",重さの単位、感謝する（nặng調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: bao,bao,,listen_pick_tone match listen_repeat,➖,syllable,5,8,"Sack, wie viele (Ton ngang: ohne Zeichen, gleichbleibend)","bag, how many (level tone)","sac, combien (ton ngang)","자루, 얼마나 (ngang 성조)",袋、どれくらい（ngang調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: bao,báo,,,↗️,syllable,5,8,"Zeitung, Leopard (Ton sắc: steigend)","newspaper, leopard (rising tone)","journal, léopard (ton sắc)","신문, 표범 (sắc 성조)",新聞、ヒョウ（sắc調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: bao,bào,,,↘️,syllable,5,8,hobeln (Ton huyền: fallend),to plane (falling tone),raboter (ton huyền),대패질하다 (huyền 성조),かんなをかける（huyền調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: bao,bảo,,,❓,syllable,5,8,"sagen, auffordern (Ton hỏi: fallend-steigend)",to tell (dipping tone),dire (ton hỏi),말하다 (hỏi 성조),言う（hỏi調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: bao,bão,,,〰️,syllable,5,8,Sturm (Ton ngã: gebrochen steigend),storm (broken rising tone),tempête (ton ngã),폭풍 (ngã 성조),嵐（ngã調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: ve,ve,,listen_pick_tone match listen_repeat,➖,syllable,5,8,"Zikade, Flasche (Ton ngang: ohne Zeichen, gleichbleibend)","cicada, bottle (level tone)","cigale, bouteille (ton ngang)","매미, 병 (ngang 성조)",セミ、瓶（ngang調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: ve,vé,,,↗️,syllable,5,8,Fahrkarte (Ton sắc: steigend),ticket (rising tone),billet (ton sắc),표 (sắc 성조),切符（sắc調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: ve,vè,,,↘️,syllable,5,8,Kinderreim (Ton huyền: fallend),folk rhyme (falling tone),comptine populaire (ton huyền),민요 (huyền 성조),民謡（huyền調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: ve,vẻ,,,❓,syllable,5,8,Aussehen (Ton hỏi: fallend-steigend),"look, appearance (dipping tone)",apparence (ton hỏi),모습 (hỏi 성조),様子（hỏi調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: ve,vẽ,,,〰️,syllable,5,8,zeichnen (Ton ngã: gebrochen steigend),to draw (broken rising tone),dessiner (ton ngã),그리다 (ngã 성조),描く（ngã調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: mai,mai,,listen_pick_tone match listen_repeat,➖,syllable,5,8,"morgen, Aprikosenblüte (Ton ngang: ohne Zeichen, gleichbleibend)","tomorrow, apricot blossom (level tone)","demain, fleur d'abricotier (ton ngang)","내일, 매화꽃 (ngang 성조)",明日、梅の花（ngang調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: mai,mái,,,↗️,syllable,5,8,Dach (Ton sắc: steigend),roof (rising tone),toit (ton sắc),지붕 (sắc 성조),屋根（sắc調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: mai,mài,,,↘️,syllable,5,8,schleifen (Ton huyền: fallend),to grind (falling tone),aiguiser (ton huyền),갈다 (huyền 성조),研ぐ（huyền調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: mai,mải,,,❓,syllable,5,8,"vertieft, beschäftigt (Ton hỏi: fallend-steigend)",absorbed (dipping tone),absorbé (ton hỏi),몰두한 (hỏi 성조),夢中な（hỏi調）,
Sáu thanh điệu,🎵,1,Nghe các thanh: mai,mãi,,,〰️,syllable,5,8,für immer (Ton ngã: gebrochen steigend),forever (broken rising tone),pour toujours (ton ngã),영원히 (ngã 성조),永遠に（ngã調）,
Chữ cái,🔤,1,Nhóm 1: a o ô ơ,a,a,listen_pick_text match trace listen_repeat,👕,letter,5,8,Buchstabe a wie in „áo“ (Hemd),letter a as in “áo” (shirt),lettre a comme dans « áo » (chemise),"글자 a, 'áo'(옷)에서처럼",文字a、「áo」（服）のように,
Chữ cái,🔤,1,Nhóm 1: a o ô ơ,o,o,,🐝,letter,5,8,Buchstabe o wie in „ong“ (Biene),letter o as in “ong” (bee),lettre o comme dans « ong » (abeille),"글자 o, 'ong'(벌)에서처럼",文字o、「ong」（ハチ）のように,
Chữ cái,🔤,1,Nhóm 1: a o ô ơ,ô,ô,,🚗,letter,5,8,Buchstabe ô wie in „ô tô“ (Auto),letter ô as in “ô tô” (car),lettre ô comme dans « ô tô » (voiture),"글자 ô, 'ô tô'(자동차)에서처럼",文字ô、「ô tô」（車）のように,
Chữ cái,🔤,1,Nhóm 1: a o ô ơ,ơ,ơ,,🍑,letter,5,8,Buchstabe ơ wie in „mơ“ (Aprikose),letter ơ as in “mơ” (apricot),lettre ơ comme dans « mơ » (abricot),"글자 ơ, 'mơ'(살구)에서처럼",文字ơ、「mơ」（あんず）のように,
Chữ cái,🔤,1,Nhóm 1: từ có a o ô ơ,bà,,read_pick trace fill_letter listen_repeat,👵,word,5,8,Oma,grandmother,grand-mère,할머니,おばあちゃん,
Chữ cái,🔤,1,Nhóm 1: từ có a o ô ơ,cá,,,🐟,word,5,8,Fisch,fish,poisson,물고기,魚,
Chữ cái,🔤,1,Nhóm 1: từ có a o ô ơ,bò,,,🐄,word,5,8,Kuh,cow,vache,소,牛,
Chữ cái,🔤,1,Nhóm 1: từ có a o ô ơ,cờ,,,🚩,word,5,8,Fahne,flag,drapeau,깃발,旗,
Chữ cái,🔤,1,Nhóm 1: từ có a o ô ơ,bơ,,,🥑,word,5,8,Avocado,avocado,avocat,아보카도,アボカド,
Chữ cái,🔤,1,Nhóm 1: từ có a o ô ơ,ô,,,☂️,word,5,8,Schirm,umbrella,parapluie,우산,傘,
Chữ cái,🔤,1,Nhóm 2: i e ê u ư,i,i,listen_pick_text match trace listen_repeat,⚪,letter,5,8,Buchstabe i wie in „bi“ (Murmel),letter i as in “bi” (marble),lettre i comme dans « bi » (bille),"글자 i, 'bi'(구슬)에서처럼",文字i、「bi」（ビー玉）のように,
Chữ cái,🔤,1,Nhóm 2: i e ê u ư,e,e,,🍦,letter,5,8,Buchstabe e wie in „kem“ (Eis),letter e as in “kem” (ice cream),lettre e comme dans « kem » (glace),"글자 e, 'kem'(아이스크림)에서처럼",文字e、「kem」（アイス）のように,
Chữ cái,🔤,1,Nhóm 2: i e ê u ư,ê,ê,,🐐,letter,5,8,Buchstabe ê wie in „dê“ (Ziege),letter ê as in “dê” (goat),lettre ê comme dans « dê » (chèvre),"글자 ê, 'dê'(염소)에서처럼",文字ê、「dê」（やぎ）のように,
Chữ cái,🔤,1,Nhóm 2: i e ê u ư,u,u,,🦉,letter,5,8,Buchstabe u wie in „cú“ (Eule),letter u as in “cú” (owl),lettre u comme dans « cú » (hibou),"글자 u, 'cú'(부엉이)에서처럼",文字u、「cú」（フクロウ）のように,
Chữ cái,🔤,1,Nhóm 2: i e ê u ư,ư,ư,,✉️,letter,5,8,Buchstabe ư wie in „thư“ (Brief),letter ư as in “thư” (letter (mail)),lettre ư comme dans « thư » (lettre),"글자 ư, 'thư'(편지)에서처럼",文字ư、「thư」（手紙）のように,
Chữ cái,🔤,1,Nhóm 2: từ có i e ê u ư,mì,,read_pick trace fill_letter listen_repeat,🍜,word,5,8,Nudeln,noodles,nouilles,국수,麺,
Chữ cái,🔤,1,Nhóm 2: từ có i e ê u ư,khỉ,,,🐒,word,5,8,Affe,monkey,singe,원숭이,さる,
Chữ cái,🔤,1,Nhóm 2: từ có i e ê u ư,mẹ,,,👩,word,5,8,Mutter,mother,mère,어머니,母,
Chữ cái,🔤,1,Nhóm 2: từ có i e ê u ư,lê,,,🍐,word,5,8,Birne,pear,poire,배,梨,
Chữ cái,🔤,1,Nhóm 2: từ có i e ê u ư,mũ,,,🎩,word,5,8,Hut,hat,chapeau,모자,帽子,
Chữ cái,🔤,1,Nhóm 2: từ có i e ê u ư,củ,,,🥕,word,5,8,"Knolle, Rübe",root vegetable,tubercule,뿌리채소,芋,
Chữ cái,🔤,1,Nhóm 2: từ có i e ê u ư,chữ,,,🔤,word,5,8,"Buchstabe, Schrift","letter, writing",écriture,글자,文字,
Chữ cái,🔤,1,Nhóm 3: b m n l,b,bờ,listen_pick_text match trace listen_repeat,🐄,letter,5,8,Buchstabe b wie in „bò“ (Kuh),letter b as in “bò” (cow),lettre b comme dans « bò » (vache),"글자 b, 'bò'(소)에서처럼",文字b、「bò」（牛）のように,
Chữ cái,🔤,1,Nhóm 3: b m n l,m,mờ,,🐱,letter,5,8,Buchstabe m wie in „mèo“ (Katze),letter m as in “mèo” (cat),lettre m comme dans « mèo » (chat),"글자 m, 'mèo'(고양이)에서처럼",文字m、「mèo」（猫）のように,
Chữ cái,🔤,1,Nhóm 3: b m n l,n,nờ,,👒,letter,5,8,Buchstabe n wie in „nón“ (Kegelhut),letter n as in “nón” (conical hat),lettre n comme dans « nón » (chapeau conique),"글자 n, 'nón'(전통 모자)에서처럼",文字n、「nón」（円錐笠）のように,
Chữ cái,🔤,1,Nhóm 3: b m n l,l,lờ,,🍃,letter,5,8,Buchstabe l wie in „lá“ (Blatt),letter l as in “lá” (leaf),lettre l comme dans « lá » (feuille),"글자 l, 'lá'(잎)에서처럼",文字l、「lá」（葉）のように,
Chữ cái,🔤,1,Nhóm 3: từ có b m n l,bé,,read_pick trace fill_letter listen_repeat,👶,word,5,8,"Baby, klein","baby, small","bébé, petit","아기, 작은",赤ちゃん、小さい,
Chữ cái,🔤,1,Nhóm 3: từ có b m n l,bó,,,💐,word,5,8,"Strauß, Bündel",bunch,botte,다발,束,
Chữ cái,🔤,1,Nhóm 3: từ có b m n l,mơ,,,🍑,word,5,8,Aprikose,apricot,abricot,살구,あんず,
Chữ cái,🔤,1,Nhóm 3: từ có b m n l,nơ,,,🎀,word,5,8,Schleife,bow,nœud,리본,リボン,
Chữ cái,🔤,1,Nhóm 3: từ có b m n l,nến,,,🕯️,word,5,8,Kerze,candle,bougie,초,ろうそく,
Chữ cái,🔤,1,Nhóm 3: từ có b m n l,lê,,,🍐,word,5,8,Birne,pear,poire,배,梨,
Chữ cái,🔤,1,Nhóm 3: từ có b m n l,lọ,,,🏺,word,5,8,"Krug, Vase","jar, vase","pot, vase","항아리, 화병",壺、花瓶,
Chữ cái,🔤,1,Nhóm 4: t c k q d đ,t,tờ,listen_pick_text match trace listen_repeat,✋,letter,5,8,Buchstabe t wie in „tay“ (Hand),letter t as in “tay” (hand),lettre t comme dans « tay » (main),"글자 t, 'tay'(손)에서처럼",文字t、「tay」（手）のように,
Chữ cái,🔤,1,Nhóm 4: t c k q d đ,c,cờ,,🐟,letter,5,8,Buchstabe c wie in „cá“ (Fisch),letter c as in “cá” (fish),lettre c comme dans « cá » (poisson),"글자 c, 'cá'(물고기)에서처럼",文字c、「cá」（魚）のように,
Chữ cái,🔤,1,Nhóm 4: t c k q d đ,k,cờ,,🍦,letter,5,8,"Buchstabe k wie in „kem“ (Eis), klingt wie c","letter k as in “kem” (ice cream), klingt wie c","lettre k comme dans « kem » (glace), se prononce comme c","글자 k, 'kem'(아이스크림)에서처럼, c처럼 발음",文字k、「kem」（アイス）のように、cと同じ発音,
Chữ cái,🔤,1,Nhóm 4: t c k q d đ,q,cờ,,🍎,letter,5,8,"Buchstabe q wie in „quả“ (Frucht), klingt wie c, steht vor u","letter q as in “quả” (fruit), klingt wie c, steht vor u","lettre q comme dans « quả » (fruit), se prononce comme c, devant u","글자 q, 'quả'(과일)에서처럼, c처럼 발음, u 앞에 옴",文字q、「quả」（果物）のように、cと同じ発音、uの前に来る,
Chữ cái,🔤,1,Nhóm 4: t c k q d đ,d,dờ,,🥥,letter,5,8,Buchstabe d wie in „dừa“ (Kokosnuss),letter d as in “dừa” (coconut),lettre d comme dans « dừa » (noix de coco),"글자 d, 'dừa'(코코넛)에서처럼",文字d、「dừa」（ココナッツ）のように,
Chữ cái,🔤,1,Nhóm 4: t c k q d đ,đ,đờ,,💡,letter,5,8,Buchstabe đ wie in „đèn“ (Lampe),letter đ as in “đèn” (lamp),lettre đ comme dans « đèn » (lampe),"글자 đ, 'đèn'(등)에서처럼",文字đ、「đèn」（ランプ）のように,
Chữ cái,🔤,1,Nhóm 4: từ có t c k q d đ,tôm,,read_pick trace fill_letter listen_repeat,🦐,word,5,8,Garnele,shrimp,crevette,새우,えび,
Chữ cái,🔤,1,Nhóm 4: từ có t c k q d đ,cam,,,🍊,word,5,8,Orange,orange,orange,오렌지,オレンジ,
Chữ cái,🔤,1,Nhóm 4: từ có t c k q d đ,kéo,,,✂️,word,5,8,Schere,scissors,ciseaux,가위,はさみ,
Chữ cái,🔤,1,Nhóm 4: từ có t c k q d đ,quà,,,🎁,word,5,8,Geschenk,gift,cadeau,선물,プレゼント,
Chữ cái,🔤,1,Nhóm 4: từ có t c k q d đ,dừa,,,🥥,word,5,8,Kokosnuss,coconut,noix de coco,코코넛,ココナッツ,
Chữ cái,🔤,1,Nhóm 4: từ có t c k q d đ,đàn,,,🎻,word,5,8,Instrument,musical instrument,instrument de musique,악기,楽器,
Chữ cái,🔤,1,Nhóm 5: h g r s v x,h,hờ,listen_pick_text match trace listen_repeat,🌸,letter,5,8,Buchstabe h wie in „hoa“ (Blume),letter h as in “hoa” (flower),lettre h comme dans « hoa » (fleur),"글자 h, 'hoa'(꽃)에서처럼",文字h、「hoa」（花）のように,
Chữ cái,🔤,1,Nhóm 5: h g r s v x,g,gờ,,🐔,letter,5,8,Buchstabe g wie in „gà“ (Huhn),letter g as in “gà” (chicken),lettre g comme dans « gà » (poulet),"글자 g, 'gà'(닭)에서처럼",文字g、「gà」（にわとり）のように,
Chữ cái,🔤,1,Nhóm 5: h g r s v x,r,rờ,,🐢,letter,5,8,Buchstabe r wie in „rùa“ (Schildkröte),letter r as in “rùa” (turtle),lettre r comme dans « rùa » (tortue),"글자 r, 'rùa'(거북이)에서처럼",文字r、「rùa」（かめ）のように,
Chữ cái,🔤,1,Nhóm 5: h g r s v x,s,sờ,,⭐,letter,5,8,Buchstabe s wie in „sao“ (Stern),letter s as in “sao” (star),lettre s comme dans « sao » (étoile),"글자 s, 'sao'(별)에서처럼",文字s、「sao」（星）のように,
Chữ cái,🔤,1,Nhóm 5: h g r s v x,v,vờ,,🦆,letter,5,8,Buchstabe v wie in „vịt“ (Ente),letter v as in “vịt” (duck),lettre v comme dans « vịt » (canard),"글자 v, 'vịt'(오리)에서처럼",文字v、「vịt」（あひる）のように,
Chữ cái,🔤,1,Nhóm 5: h g r s v x,x,xờ,,🍙,letter,5,8,Buchstabe x wie in „xôi“ (Klebreis),letter x as in “xôi” (sticky rice),lettre x comme dans « xôi » (riz gluant),"글자 x, 'xôi'(찰밥)에서처럼",文字x、「xôi」（おこわ）のように,
Chữ cái,🔤,1,Nhóm 5: từ có h g r s v x,hổ,,read_pick trace fill_letter listen_repeat,🐯,word,5,8,Tiger,tiger,tigre,호랑이,とら,
Chữ cái,🔤,1,Nhóm 5: từ có h g r s v x,gạo,,,🌾,word,5,8,Reis (roh),rice grain,riz (cru),쌀,米,
Chữ cái,🔤,1,Nhóm 5: từ có h g r s v x,rau,,,🥬,word,5,8,Gemüse,vegetables,légumes,채소,野菜,
Chữ cái,🔤,1,Nhóm 5: từ có h g r s v x,sữa,,,🥛,word,5,8,Milch,milk,lait,우유,牛乳,
Chữ cái,🔤,1,Nhóm 5: từ có h g r s v x,vở,,,📓,word,5,8,Heft,notebook,cahier,공책,ノート,
Chữ cái,🔤,1,Nhóm 5: từ có h g r s v x,xôi,,,🍙,word,5,8,Klebreis,sticky rice,riz gluant,찰밥,おこわ,
Chữ cái,🔤,1,Nhóm 6: ă â y p,ă,á,listen_pick_text match trace listen_repeat,👁️,letter,5,8,"Buchstabe ă wie in „mắt“ (Auge), kurzes a","letter ă as in “mắt” (eye), kurzes a","lettre ă comme dans « mắt » (œil), a court","글자 ă, 'mắt'(눈)에서처럼, 짧은 a",文字ă、「mắt」（目）のように、短いa,
Chữ cái,🔤,1,Nhóm 6: ă â y p,â,ớ,,🐛,letter,5,8,"Buchstabe â wie in „sâu“ (Raupe), kurzes ơ","letter â as in “sâu” (caterpillar), kurzes ơ","lettre â comme dans « sâu » (chenille), ơ court","글자 â, 'sâu'(애벌레)에서처럼, 짧은 ơ",文字â、「sâu」（毛虫）のように、短いơ,
Chữ cái,🔤,1,Nhóm 6: ă â y p,y,i dài,,💡,letter,5,8,"Buchstabe y wie in „ý“ (Idee), langes i","letter y as in “ý” (idea), langes i","lettre y comme dans « ý » (idée), i long","글자 y, 'ý'(생각)에서처럼, 긴 i",文字y、「ý」（考え）のように、長いi,
Chữ cái,🔤,1,Nhóm 6: ă â y p,p,pờ,,🔋,letter,5,8,Buchstabe p wie in „pin“ (Batterie),letter p as in “pin” (battery),lettre p comme dans « pin » (pile),"글자 p, 'pin'(건전지)에서처럼",文字p、「pin」（電池）のように,
Chữ cái,🔤,1,Nhóm 6: từ có ă â y,mắt,,read_pick trace fill_letter listen_repeat,👁️,word,5,8,Auge,eye,œil,눈,目,
Chữ cái,🔤,1,Nhóm 6: từ có ă â y,răng,,,🦷,word,5,8,Zahn,tooth,dent,이,歯,
Chữ cái,🔤,1,Nhóm 6: từ có ă â y,cân,,,⚖️,word,5,8,Waage,scale,balance,저울,はかり,
Chữ cái,🔤,1,Nhóm 6: từ có ă â y,cây,,,🌳,word,5,8,Baum,tree,arbre,나무,木,
Chữ cái,🔤,1,Nhóm 6: từ có ă â y,mây,,,☁️,word,5,8,Wolke,cloud,nuage,구름,雲,
Chữ cái,🔤,1,Nhóm 6: từ có ă â y,tay,,,✋,word,5,8,Hand,hand,main,손,手,
Chữ hoa,🅰️,1,Chữ hoa nhóm 1: A O Ô Ơ,A a,a,match_case pick_case trace listen_repeat,👦,letter,5,8,Großbuchstabe A (klein: a) wie in „An“ (Vorname),capital letter A (lowercase a) as in “An” (a first name),lettre majuscule A (minuscule a) comme dans « An » (prénom),"대문자 A(소문자 a), 'An'(이름)에서처럼",大文字A（小文字a）、「An」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 1: A O Ô Ơ,O o,o,,👧,letter,5,8,Großbuchstabe O (klein: o) wie in „Oanh“ (Vorname),capital letter O (lowercase o) as in “Oanh” (a first name),lettre majuscule O (minuscule o) comme dans « Oanh » (prénom),"대문자 O(소문자 o), 'Oanh'(이름)에서처럼",大文字O（小文字o）、「Oanh」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 1: A O Ô Ơ,Ô ô,ô,,👴,letter,5,8,Großbuchstabe Ô (klein: ô) wie in „Ông“ (Wort am Satzanfang),capital letter Ô (lowercase ô) as in “Ông” (a word at the start of a sentence),lettre majuscule Ô (minuscule ô) comme dans « Ông » (un mot en début de phrase),"대문자 Ô(소문자 ô), 'Ông'(문장 첫머리 단어)에서처럼",大文字Ô（小文字ô）、「Ông」（文頭の単語）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 1: A O Ô Ơ,Ơ ơ,ơ,,🙋,letter,5,8,Großbuchstabe Ơ (klein: ơ) wie in „Ơi“ (Wort am Satzanfang),capital letter Ơ (lowercase ơ) as in “Ơi” (a word at the start of a sentence),lettre majuscule Ơ (minuscule ơ) comme dans « Ơi » (un mot en début de phrase),"대문자 Ơ(소문자 ơ), 'Ơi'(문장 첫머리 단어)에서처럼",大文字Ơ（小文字ơ）、「Ơi」（文頭の単語）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 2: I E Ê U Ư,I i,i,match_case pick_case trace listen_repeat,🤫,letter,5,8,Großbuchstabe I (klein: i) wie in „Im“ (Wort am Satzanfang),capital letter I (lowercase i) as in “Im” (a word at the start of a sentence),lettre majuscule I (minuscule i) comme dans « Im » (un mot en début de phrase),"대문자 I(소문자 i), 'Im'(문장 첫머리 단어)에서처럼",大文字I（小文字i）、「Im」（文頭の単語）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 2: I E Ê U Ư,E e,e,,🧒,letter,5,8,Großbuchstabe E (klein: e) wie in „Em“ (Wort am Satzanfang),capital letter E (lowercase e) as in “Em” (a word at the start of a sentence),lettre majuscule E (minuscule e) comme dans « Em » (un mot en début de phrase),"대문자 E(소문자 e), 'Em'(문장 첫머리 단어)에서처럼",大文字E（小文字e）、「Em」（文頭の単語）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 2: I E Ê U Ư,Ê ê,ê,,🏡,letter,5,8,Großbuchstabe Ê (klein: ê) wie in „Êđê“ (Volksgruppe),capital letter Ê (lowercase ê) as in “Êđê” (an ethnic group),lettre majuscule Ê (minuscule ê) comme dans « Êđê » (un groupe ethnique),"대문자 Ê(소문자 ê), 'Êđê'(소수민족)에서처럼",大文字Ê（小文字ê）、「Êđê」（民族名）のように,decor
