unit,unit_emoji,level,lesson,vi,say,activities,choices,answer,emoji,type,min_age,max_age,de,en,fr,ko,ja,pic
Đọc đoạn văn ngắn,📖,4,Buổi sáng của em,Mẹ nấu cho em món gì?,,,phở|cơm|bún,1,,question,6,8,Was kocht die Mutter für das Kind?,What does Mum cook for the child?,Qu'est-ce que maman te prépare ?,엄마가 무엇을 만들어 주세요?,ママは何を作ってくれますか。,
Đọc đoạn văn ngắn,📖,4,Buổi sáng của em,"Trên đường đi học, em gặp ai?",,,bạn Hà|cô giáo|bà,1,,question,6,8,Wen trifft das Kind auf dem Schulweg?,Who does the child meet on the way to school?,Qui rencontres-tu sur le chemin de l'école ?,학교 가는 길에 누구를 만나요?,学校に行く道で誰に会いますか。,
Đọc đoạn văn ngắn,📖,4,Tết ở nhà bà,"Tết đến, cả nhà về quê thăm bà.",,read_quiz order_story fill_word listen_repeat,,,🏡,sentence,6,8,Zu Tết fährt die ganze Familie aufs Land zu Oma.,"At Tết, the whole family goes to the countryside to visit Grandma.","Au Nouvel An, toute la famille rentre à la campagne voir grand-mère.",뗏이 되면 온 가족이 시골 할머니 댁에 가요.,テトになると家族みんなで田舎のおばあちゃんに会いに行きます。,decor
Đọc đoạn văn ngắn,📖,4,Tết ở nhà bà,Bà gói bánh chưng thật to.,,,,,👵🟩,sentence,6,8,Oma wickelt ein sehr großes Bánh chưng.,Grandma wraps a very big bánh chưng.,Grand-mère prépare un très gros bánh chưng.,할머니가 아주 큰 바인쯩을 만들어요.,おばあちゃんはとても大きなバインチュンを作ります。,decor
Đọc đoạn văn ngắn,📖,4,Tết ở nhà bà,Em được bà lì xì một phong bao đỏ.,,,,,🧧👵,sentence,6,8,Oma schenkt mir einen roten Glücksumschlag.,Grandma gives me a red lucky-money envelope.,Grand-mère me donne une enveloppe rouge porte-bonheur.,할머니가 빨간 봉투에 세뱃돈을 주세요.,おばあちゃんが赤い封筒でお年玉をくれます。,decor
Đọc đoạn văn ngắn,📖,4,Tết ở nhà bà,"Buổi tối, cả nhà xem pháo hoa.",,,,,🌙🎆,sentence,6,8,Am Abend sieht die ganze Familie das Feuerwerk.,"In the evening, the whole family watches fireworks.","Le soir, toute la famille regarde les feux d'artifice.",저녁에 온 가족이 불꽃놀이를 봐요.,夜、家族みんなで花火を見ます。,decor
Đọc đoạn văn ngắn,📖,4,Tết ở nhà bà,Em ước năm mới ai cũng vui.,,,,,🌠😄,sentence,6,8,"Ich wünsche mir, dass im neuen Jahr alle froh sind.",I wish everyone to be happy in the new year.,Je souhaite que tout le monde soit heureux pour la nouvelle année.,저는 새해에 모두가 행복하길 바라요.,私は新年にみんなが幸せでありますようにと願います。,decor
Đọc đoạn văn ngắn,📖,4,Tết ở nhà bà,"Tết đến, cả nhà về quê thăm ai?",,,bà|cô giáo|bạn,1,,question,6,8,Wen besucht die Familie zu Tết auf dem Land?,Whom does the family visit in the countryside at Tết?,"Au Nouvel An, qui la famille va-t-elle voir à la campagne ?",뗏이 되면 온 가족이 시골에서 누구를 만나요?,テトになると家族は田舎で誰に会いに行きますか。,
Đọc đoạn văn ngắn,📖,4,Tết ở nhà bà,Bà gói món gì?,,,bánh chưng|bánh mì|bánh ngọt,1,,question,6,8,Was wickelt Oma?,What does Grandma wrap?,Qu'est-ce que grand-mère prépare ?,할머니가 무엇을 만들어요?,おばあちゃんは何を作りますか。,
Đọc đoạn văn ngắn,📖,4,Tết ở nhà bà,"Buổi tối, cả nhà làm gì?",,,xem pháo hoa|đi học|ngủ sớm,1,,question,6,8,Was macht die Familie am Abend?,What does the family do in the evening?,Que fait la famille le soir ?,저녁에 온 가족이 무엇을 해요?,夜、家族は何をしますか。,
Đọc đoạn văn ngắn,📖,4,Ngày mưa,Hôm nay trời mưa to.,,read_quiz order_story fill_word listen_repeat,,,🌧️,sentence,6,8,Heute regnet es stark.,It is raining hard today.,Aujourd'hui il pleut fort.,오늘 비가 많이 와요.,今日は雨がたくさん降っています。,decor
Đọc đoạn văn ngắn,📖,4,Ngày mưa,Mưa rơi lộp bộp trên mái nhà.,,,,,🌧️🏠,sentence,6,8,Der Regen prasselt aufs Hausdach.,The rain patters on the roof.,La pluie tambourine sur le toit.,빗방울이 지붕 위에 후두둑 떨어져요.,雨が屋根にぽつぽつ降ります。,decor
Đọc đoạn văn ngắn,📖,4,Ngày mưa,Em ngồi bên cửa sổ ngắm mưa.,,,,,🧒🌧️,sentence,6,8,Ich sitze am Fenster und schaue dem Regen zu.,I sit by the window watching the rain.,Je m'assois près de la fenêtre pour regarder la pluie.,저는 창가에 앉아 비를 바라봐요.,私は窓のそばに座って雨を眺めます。,decor
Đọc đoạn văn ngắn,📖,4,Ngày mưa,"Ngoài vườn, mấy chú ếch kêu ộp ộp.",,,,,🐸🌿,sentence,6,8,Draußen im Garten quaken ein paar Frösche.,"Outside in the garden, some frogs croak.","Dans le jardin, des grenouilles coassent.",정원에서 개구리들이 개굴개굴 울어요.,庭でカエルたちがゲロゲロ鳴いています。,decor
Đọc đoạn văn ngắn,📖,4,Ngày mưa,"Một lúc sau, cầu vồng hiện ra.",,,,,🌈,sentence,6,8,Nach einer Weile erscheint ein Regenbogen.,"After a while, a rainbow appears.","Peu après, un arc-en-ciel apparaît.",잠시 후 무지개가 나타나요.,しばらくすると虹が現れます。,decor
Đọc đoạn văn ngắn,📖,4,Ngày mưa,Hôm nay thời tiết thế nào?,,,trời mưa to|trời nắng|trời có tuyết,1,,question,6,8,Wie ist heute das Wetter?,What is the weather like today?,Quel temps fait-il aujourd'hui ?,오늘 날씨가 어때요?,今日の天気はどうですか。,
Đọc đoạn văn ngắn,📖,4,Ngày mưa,Ai kêu ộp ộp ngoài vườn?,,,mấy chú ếch|chú chó|chú mèo,1,,question,6,8,Wer quakt draußen im Garten?,Who croaks in the garden?,Qui coasse dans le jardin ?,정원에서 누가 개굴개굴 울어요?,庭で誰がゲロゲロ鳴いていますか。,
Đọc đoạn văn ngắn,📖,4,Ngày mưa,"Sau cơn mưa, trên trời có gì?",,,cầu vồng|mặt trăng|ngôi sao,1,,question,6,8,Was ist nach dem Regen am Himmel?,What is in the sky after the rain?,Qu'y a-t-il dans le ciel après la pluie ?,비가 온 뒤 하늘에 무엇이 있어요?,雨の後、空に何がありますか。,
Đọc đoạn văn ngắn,📖,4,Chú mèo của em,Em có một chú mèo tên là Mun.,,read_quiz order_story fill_word listen_repeat,,,🐱,sentence,6,8,Ich habe einen Kater namens Mun.,I have a cat named Mun.,J'ai un chat qui s'appelle Mun.,저는 문이라는 고양이가 있어요.,私はムンという猫を飼っています。,decor
Đọc đoạn văn ngắn,📖,4,Chú mèo của em,Bộ lông của Mun đen như than.,,,,,🐱⚫,sentence,6,8,Muns Fell ist schwarz wie Kohle.,Mun's fur is black as coal.,Le pelage de Mun est noir comme le charbon.,문의 털은 숯처럼 까매요.,ムンの毛は炭のように黒いです。,decor
Đọc đoạn văn ngắn,📖,4,Chú mèo của em,Mun thích ngủ cạnh em.,,,,,🐱😴,sentence,6,8,Mun schläft gern neben mir.,Mun likes to sleep next to me.,Mun aime dormir à côté de moi.,문은 제 옆에서 자는 것을 좋아해요.,ムンは私のそばで寝るのが好きです。,decor
Đọc đoạn văn ngắn,📖,4,Chú mèo của em,Sáng nào Mun cũng kêu meo meo đòi ăn.,,,,,🐱🍽️,sentence,6,8,Jeden Morgen miaut Mun und will fressen.,Every morning Mun meows for food.,"Chaque matin, Mun miaule pour réclamer à manger.",문은 매일 아침 야옹야옹 울며 밥을 달라고 해요.,ムンは毎朝ニャーニャー鳴いてご飯をねだります。,decor
Đọc đoạn văn ngắn,📖,4,Chú mèo của em,Em rất yêu chú mèo nhỏ.,,,,,💖,sentence,6,8,Ich habe den kleinen Kater sehr lieb.,I love my little cat very much.,J'aime beaucoup mon petit chat.,저는 이 작은 고양이를 아주 사랑해요.,私はこの小さな猫がとても大好きです。,decor
Đọc đoạn văn ngắn,📖,4,Chú mèo của em,Chú mèo của em tên là gì?,,,Mun|Mít|Bông,1,,question,6,8,Wie heißt der Kater?,What is the cat's name?,Comment s'appelle mon chat ?,제 고양이 이름은 무엇이에요?,私の猫の名前は何ですか。,
Đọc đoạn văn ngắn,📖,4,Chú mèo của em,Bộ lông của Mun màu gì?,,,đen|trắng|vàng,1,,question,6,8,Welche Farbe hat Muns Fell?,What colour is Mun's fur?,De quelle couleur est le pelage de Mun ?,문의 털은 무슨 색이에요?,ムンの毛は何色ですか。,
Đọc đoạn văn ngắn,📖,4,Chú mèo của em,Mun kêu thế nào khi đòi ăn?,,,meo meo|gâu gâu|ụt ịt,1,,question,6,8,"Wie macht Mun, wenn er fressen will?",What sound does Mun make when it wants food?,Comment fait Mun quand il réclame à manger ?,문은 밥을 달라고 할 때 어떻게 울어요?,ムンはご飯をねだるときどう鳴きますか。,
Đọc đoạn văn ngắn,📖,4,Ở trường,Trường của em rất đẹp.,,read_quiz order_story fill_word listen_repeat,,,🏫,sentence,6,8,Meine Schule ist sehr schön.,My school is very beautiful.,Mon école est très belle.,우리 학교는 아주 예뻐요.,私の学校はとてもきれいです。,decor
Đọc đoạn văn ngắn,📖,4,Ở trường,Sân trường có nhiều cây xanh.,,,,,🏫🌳,sentence,6,8,Auf dem Schulhof stehen viele grüne Bäume.,The schoolyard has many green trees.,La cour de l'école a beaucoup d'arbres verts.,학교 운동장에는 푸른 나무가 많아요.,校庭にはたくさんの緑の木があります。,decor
Đọc đoạn văn ngắn,📖,4,Ở trường,"Giờ ra chơi, em nhảy dây cùng các bạn.",,,,,🤸🧒,sentence,6,8,In der Pause springe ich mit meinen Freunden Seil.,"At break, I skip rope with my friends.","Pendant la récréation, je saute à la corde avec mes amis.",쉬는 시간에 저는 친구들과 줄넘기를 해요.,休み時間に友達と縄跳びをします。,decor
Đọc đoạn văn ngắn,📖,4,Ở trường,Cô giáo dạy em một bài hát mới.,,,,,👩‍🏫🎵,sentence,6,8,Die Lehrerin bringt mir ein neues Lied bei.,The teacher teaches me a new song.,La maîtresse m'apprend une nouvelle chanson.,선생님이 새로운 노래를 가르쳐 주세요.,先生が新しい歌を教えてくれます。,decor
Đọc đoạn văn ngắn,📖,4,Ở trường,Em thích đi học mỗi ngày.,,,,,🧒🎒,sentence,6,8,Ich gehe jeden Tag gern zur Schule.,I like going to school every day.,J'aime aller à l'école tous les jours.,저는 매일 학교에 가는 것을 좋아해요.,私は毎日学校に行くのが好きです。,decor
Đọc đoạn văn ngắn,📖,4,Ở trường,Sân trường có gì?,,,nhiều cây xanh|nhiều xe|nhiều nhà,1,,question,6,8,Was gibt es auf dem Schulhof?,What does the schoolyard have?,Qu'y a-t-il dans la cour de l'école ?,학교 운동장에는 무엇이 있어요?,校庭には何がありますか。,
Đọc đoạn văn ngắn,📖,4,Ở trường,"Giờ ra chơi, em chơi gì?",,,nhảy dây|đá bóng|xem tivi,1,,question,6,8,Was spielt das Kind in der Pause?,What does the child play at break?,Que fais-tu pendant la récréation ?,쉬는 시간에 무엇을 해요?,休み時間に何をしますか。,
Đọc đoạn văn ngắn,📖,4,Ở trường,Cô giáo dạy em điều gì?,,,một bài hát mới|một trò chơi|một bài toán,1,,question,6,8,Was bringt die Lehrerin dem Kind bei?,What does the teacher teach the child?,Qu'est-ce que la maîtresse t'apprend ?,선생님이 무엇을 가르쳐 주세요?,先生は何を教えてくれますか。,
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (1),Vua Hùng muốn chọn người nối ngôi.,,read_quiz order_story fill_word listen_repeat,,,🤴🤔,sentence,6,8,König Hùng wollte einen Thronfolger wählen.,King Hùng wanted to choose an heir.,Le roi Hùng voulait choisir un héritier.,훙 왕은 왕위를 이을 사람을 고르고 싶었어요.,フン王は跡継ぎを選びたいと思いました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (1),Vua bảo các con đi tìm món ngon nhất để dâng cúng tổ tiên.,,,,,🤴🍲,sentence,6,8,"Der König trug seinen Söhnen auf, das köstlichste Gericht für die Ahnen zu suchen.",The king told his sons to find the most delicious dish to offer to the ancestors.,Le roi demanda à ses fils de trouver le plat le plus délicieux pour l'offrir aux ancêtres.,왕은 아들들에게 조상님께 바칠 가장 맛있는 음식을 찾아오라고 했어요.,王は息子たちに、先祖に捧げる一番おいしい料理を探すように言いました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (1),Các hoàng tử tìm khắp nơi những của ngon vật lạ.,,,,,🏃🍗,sentence,6,8,Die Prinzen suchten überall nach Leckerbissen und Seltenem.,The princes searched everywhere for delicacies and rare things.,Les princes cherchèrent partout des mets rares et délicieux.,왕자들은 온 곳을 다니며 진귀한 음식을 찾았어요.,王子たちはあちこちで珍しいごちそうを探しました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (1),"Chỉ có Lang Liêu nghèo, chàng chẳng biết làm gì.",,,,,😟🌾,sentence,6,8,"Nur Lang Liêu war arm und wusste nicht, was er tun sollte.","Only Lang Liêu was poor, and he did not know what to do.","Seul Lang Liêu était pauvre, il ne savait pas quoi faire.",가난한 랑리에우만 무엇을 해야 할지 몰랐어요.,貧しいラン・リエウだけは何をすればいいか分かりませんでした。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (1),"Một đêm, thần báo mộng dạy chàng lấy gạo làm bánh.",,,,,🌙🌾,sentence,6,8,"Eines Nachts riet ihm ein Gott im Traum, Kuchen aus Reis zu machen.","One night, a god told him in a dream to make cakes from rice.","Une nuit, un dieu lui apparut en rêve et lui apprit à faire des gâteaux avec du riz.","어느 날 밤, 신이 꿈에 나타나 쌀로 떡을 만들라고 알려주었어요.",ある夜、神様が夢に現れて米でお餅を作るよう教えてくれました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (1),Ai muốn chọn người nối ngôi?,,,Vua Hùng|Lang Liêu|thần,1,,question,6,8,Wer wollte einen Thronfolger wählen?,Who wanted to choose an heir?,Qui voulait choisir un héritier ?,누가 왕위를 이을 사람을 고르고 싶었어요?,誰が跡継ぎを選びたいと思いましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (1),Thần dạy Lang Liêu làm bánh bằng gì?,,,gạo|bột mì|khoai,1,,question,6,8,Woraus sollte Lang Liêu den Kuchen machen?,What did the god tell Lang Liêu to make the cakes from?,Avec quoi le dieu a-t-il appris à Lang Liêu à faire les gâteaux ?,신은 랑리에우에게 무엇으로 떡을 만들라고 가르쳐주었어요?,神様はラン・リエウに何でお餅を作るよう教えましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (2),"Lang Liêu làm bánh hình vuông, tượng trưng cho đất, gọi là bánh chưng.",,read_quiz order_story fill_word listen_repeat,,,🟩🌏,sentence,6,8,"Lang Liêu machte einen quadratischen Kuchen für die Erde, das Bánh chưng.","Lang Liêu made a square cake for the earth, called bánh chưng.","Lang Liêu fit un gâteau carré, symbole de la terre, appelé bánh chưng.","랑리에우는 땅을 상징하는 네모난 떡을 만들었는데, 이를 바인쯩이라고 해요.",ラン・リエウは大地を象徴する四角いお餅を作り、バインチュンと呼びました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (2),"Chàng làm bánh hình tròn, tượng trưng cho trời, gọi là bánh giầy.",,,,,⭕☁️,sentence,6,8,"Er machte einen runden Kuchen für den Himmel, das Bánh giầy.","He made a round cake for the sky, called bánh giầy.","Il fit un gâteau rond, symbole du ciel, appelé bánh giầy.","그는 하늘을 상징하는 둥근 떡을 만들었는데, 이를 바인지아이라고 해요.",彼は天を象徴する丸いお餅を作り、バインザイと呼びました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (2),Vua Hùng nếm thử và rất khen ngon.,,,,,🤴😋,sentence,6,8,König Hùng probierte und lobte sie sehr.,King Hùng tasted them and praised them highly.,Le roi Hùng y goûta et les trouva délicieux.,훙 왕이 맛을 보고 아주 맛있다고 칭찬했어요.,フン王は味見をしてとてもおいしいと褒めました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (2),Vua chọn Lang Liêu nối ngôi.,,,,,🤴👑,sentence,6,8,Der König wählte Lang Liêu zum Nachfolger.,The king chose Lang Liêu as his heir.,Le roi choisit Lang Liêu comme héritier.,왕은 랑리에우를 후계자로 골랐어요.,王はラン・リエウを跡継ぎに選びました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (2),"Từ đó, ngày Tết nhà nào cũng có bánh chưng.",,,,,🎊🟩,sentence,6,8,Seitdem gibt es zu Tết in jedem Haus Bánh chưng.,"Since then, every home has bánh chưng at Tết.","Depuis, chaque foyer a du bánh chưng au Nouvel An.",그때부터 뗏에는 집집마다 바인쯩이 있어요.,それ以来、テトにはどの家にもバインチュンがあります。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (2),Bánh chưng có hình gì?,,,hình vuông|hình tròn|hình tam giác,1,,question,6,8,Welche Form hat das Bánh chưng?,What shape is bánh chưng?,Quelle est la forme du bánh chưng ?,바인쯩은 어떤 모양이에요?,バインチュンはどんな形ですか。,
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích bánh chưng bánh giầy (2),Ai được vua chọn nối ngôi?,,,Lang Liêu|một hoàng tử giàu|thần,1,,question,6,8,Wen wählte der König zum Nachfolger?,Whom did the king choose as heir?,Qui le roi a-t-il choisi comme héritier ?,왕이 누구를 후계자로 골랐어요?,王は誰を跡継ぎに選びましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (1),"Ngày xưa, có một cậu bé lên ba tuổi mà chưa biết nói.",,read_quiz order_story fill_word listen_repeat,,,👶🤐,sentence,6,8,"Es war einmal ein dreijähriger Junge, der noch nicht sprechen konnte.","Long ago, there was a three-year-old boy who could not yet speak.","Autrefois, il y avait un garçon de trois ans qui ne savait pas encore parler.",옛날에 세 살이 되도록 말을 못하는 남자아이가 있었어요.,昔、三歳になってもまだ話せない男の子がいました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (1),"Một hôm, giặc Ân đến xâm chiếm nước ta.",,,,,⚔️🏹,sentence,6,8,Eines Tages fielen die Ân-Feinde in unser Land ein.,"One day, the Ân invaders attacked our country.","Un jour, les envahisseurs Ân vinrent envahir notre pays.",어느 날 은나라 적이 우리 나라를 침략해왔어요.,ある日、殷の敵が私たちの国に攻めてきました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (1),"Nghe tiếng sứ giả của vua, cậu bé bỗng cất tiếng nói.",,,,,📢👶,sentence,6,8,"Als er den Boten des Königs hörte, fing der Junge plötzlich an zu sprechen.","Hearing the king's messenger, the boy suddenly began to speak.","En entendant le messager du roi, le garçon se mit soudain à parler.",왕의 사신 소리를 듣고 아이가 갑자기 말을 하기 시작했어요.,王の使者の声を聞いて、男の子は突然話し始めました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (1),Cậu xin vua rèn cho một con ngựa sắt và một cây roi sắt.,,,,,🐎🔨,sentence,6,8,"Er bat den König, ihm ein eisernes Pferd und eine eiserne Peitsche zu schmieden.",He asked the king to forge him an iron horse and an iron whip.,Il demanda au roi de forger un cheval de fer et un fouet de fer.,그는 왕에게 쇠로 만든 말과 쇠 채찍을 만들어달라고 했어요.,彼は王に鉄の馬と鉄の鞭を作ってほしいと頼みました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (1),"Cả làng góp gạo nuôi cậu, cậu lớn nhanh như thổi.",,,,,🏘️🍚,sentence,6,8,"Das ganze Dorf gab Reis, um ihn zu ernähren, und er wuchs im Nu.","The whole village gave rice to feed him, and he grew up very fast.","Tout le village donna du riz pour le nourrir, et il grandit très vite.","온 마을이 쌀을 모아 그를 먹였고, 그는 쑥쑥 자랐어요.",村中が米を出して彼を養い、彼はぐんぐん成長しました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (1),Ai đến xâm chiếm nước ta?,,,giặc Ân|giặc Minh|thủy quái,1,,question,6,8,Wer fiel in unser Land ein?,Who invaded our country?,Qui est venu envahir notre pays ?,누가 우리 나라를 침략했어요?,誰が私たちの国に攻めてきましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (1),Cậu bé xin vua rèn những gì?,,,ngựa sắt và roi sắt|kiếm vàng và khiên|cung và tên,1,,question,6,8,Was bat der Junge den König zu schmieden?,What did the boy ask the king to forge?,Qu'est-ce que le garçon a demandé au roi de forger ?,아이는 왕에게 무엇을 만들어달라고 했어요?,男の子は王に何を作ってほしいと頼みましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (2),Cậu bé vươn vai thành một vị tướng khổng lồ.,,read_quiz order_story fill_word listen_repeat,,,🧒💪,sentence,6,8,Der Junge streckte sich zu einem riesigen General.,The boy stretched and became a giant general.,Le garçon s'étira et devint un général géant.,아이는 기지개를 켜더니 거대한 장군이 되었어요.,男の子は伸びをすると巨大な将軍になりました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (2),"Chàng mặc áo giáp sắt, cưỡi ngựa sắt ra trận.",,,,,🛡️🐴,sentence,6,8,Er zog eine eiserne Rüstung an und ritt auf dem eisernen Pferd in die Schlacht.,He put on iron armour and rode the iron horse into battle.,Il enfila une armure de fer et monta sur le cheval de fer pour aller au combat.,그는 쇠 갑옷을 입고 쇠 말을 타고 전쟁터로 나갔어요.,彼は鉄の鎧を着て鉄の馬に乗り、戦場へ向かいました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (2),"Ngựa sắt phun lửa, chàng đánh tan quân giặc.",,,,,🐴🔥,sentence,6,8,"Das eiserne Pferd spie Feuer, und er schlug die Feinde in die Flucht.",The iron horse breathed fire and he crushed the enemy army.,"Le cheval de fer cracha du feu, et il détruisit l'armée ennemie.","쇠 말이 불을 뿜었고, 그는 적군을 무찔렀어요.",鉄の馬が火を吹き、彼は敵の軍を打ち破りました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (2),"Roi sắt gãy, chàng nhổ những bụi tre bên đường làm vũ khí.",,,,,🎋⚔️,sentence,6,8,"Als die Peitsche brach, riss er Bambus am Wegrand als Waffe aus.","When the whip broke, he pulled up bamboo by the road as a weapon.","Le fouet de fer se brisa, alors il arracha des bambous au bord de la route pour en faire des armes.",쇠 채찍이 부러지자 그는 길가의 대나무를 뽑아 무기로 썼어요.,鉄の鞭が折れると、彼は道端の竹を引き抜いて武器にしました。,decor
