ưu tiên,loại,cấp,chủ đề,bài,chữ tiếng Việt,emoji hiện tại,mô tả gợi ý cho người vẽ,tên file gợi ý
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần oi, ôi, ơi, ui",xôi,🍙,"Hình minh hoạ đúng thực tế Việt Nam: “xôi”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",xoi-2.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần au, âu, êu",trâu,🐃,"Hình minh hoạ đúng thực tế Việt Nam: “trâu”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",trau.png
1,Đặc trưng Việt Nam,3,Nguyên âm đôi,"Vần ia, ua, ưa",thìa,🥄,"Hình minh hoạ đúng thực tế Việt Nam: “thìa”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",thia.png
1,Đặc trưng Việt Nam,3,Nguyên âm đôi,"Vần ia, ua, ưa",dừa,🥥,"Hình minh hoạ đúng thực tế Việt Nam: “dừa”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",dua-2.png
1,Đặc trưng Việt Nam,3,Nguyên âm đôi,Vần uô,chuông,🔔,"Hình minh hoạ đúng thực tế Việt Nam: “chuông”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",chuong.png
1,Đặc trưng Việt Nam,3,Phụ âm ghép và chính tả,"Âm kh, gh và ngh",nghé,🐃,"Hình minh hoạ đúng thực tế Việt Nam: “nghé”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",nghe-2.png
1,Đặc trưng Việt Nam,3,Phụ âm ghép và chính tả,"Âm ph, qu và th",phở,🍜,"Hình minh hoạ đúng thực tế Việt Nam: “phở”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",pho-2.png
1,Đặc trưng Việt Nam,3,Phụ âm ghép và chính tả,"Luật chính tả: c/k/q, g/gh, ng/ngh",nghé,🐃,"Hình minh hoạ đúng thực tế Việt Nam: “nghé”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",nghe-3.png
1,Đặc trưng Việt Nam,3,Đọc từ và câu ngắn,Đọc từ: bữa cơm,cơm,🍚,"Hình minh hoạ đúng thực tế Việt Nam: “cơm”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",com-3.png
1,Đặc trưng Việt Nam,3,Đọc từ và câu ngắn,Đọc từ: bữa cơm,phở,🍜,"Hình minh hoạ đúng thực tế Việt Nam: “phở”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",pho-3.png
1,Đặc trưng Việt Nam,3,Đọc từ và câu ngắn,Đọc từ: bữa cơm,bánh mì,🥖,"Hình minh hoạ đúng thực tế Việt Nam: “bánh mì”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",banh-mi-2.png
1,Đặc trưng Việt Nam,3,Đọc từ và câu ngắn,Đọc từ: bữa cơm,canh,🍲,"Hình minh hoạ đúng thực tế Việt Nam: “canh”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",canh-3.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Gia đình của Nam,Nhà Nam có bốn người.,🏠4️⃣,"Tranh minh hoạ cho câu: “Nhà Nam có bốn người.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nha-nam-co-bon-nguoi.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Gia đình của Nam,Bố Nam là bác sĩ.,👨‍⚕️,"Tranh minh hoạ cho câu: “Bố Nam là bác sĩ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",bo-nam-la-bac-si.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Gia đình của Nam,Mẹ Nam là cô giáo.,👩‍🏫,"Tranh minh hoạ cho câu: “Mẹ Nam là cô giáo.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",me-nam-la-co-giao.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Gia đình của Nam,Nam có một em gái tên là Mai.,👧,"Tranh minh hoạ cho câu: “Nam có một em gái tên là Mai.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nam-co-mot-em-gai-ten-la-mai.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Gia đình của Nam,Cả nhà rất yêu thương nhau.,👨‍👩‍👧‍👦❤️,"Tranh minh hoạ cho câu: “Cả nhà rất yêu thương nhau.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ca-nha-rat-yeu-thuong-nhau.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Buổi sáng của em,Sáng nào em cũng dậy sớm.,🧒⏰,"Tranh minh hoạ cho câu: “Sáng nào em cũng dậy sớm.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",sang-nao-em-cung-day-som.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Buổi sáng của em,Em đánh răng và rửa mặt.,🦷🧼,"Tranh minh hoạ cho câu: “Em đánh răng và rửa mặt.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",em-danh-rang-va-rua-mat.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Buổi sáng của em,Mẹ nấu cho em bát phở nóng.,🍜,"Tranh minh hoạ cho câu: “Mẹ nấu cho em bát phở nóng.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",me-nau-cho-em-bat-pho-nong.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Buổi sáng của em,"Ăn xong, em đeo cặp đi học.",🧒🎒,"Tranh minh hoạ cho câu: “Ăn xong, em đeo cặp đi học.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",an-xong-em-deo-cap-di-hoc.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Buổi sáng của em,"Trên đường, em gặp bạn Hà.",🧒👫,"Tranh minh hoạ cho câu: “Trên đường, em gặp bạn Hà.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",tren-duong-em-gap-ban-ha.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Tết ở nhà bà,"Tết đến, cả nhà về quê thăm bà.",🏡,"Tranh minh hoạ cho câu: “Tết đến, cả nhà về quê thăm bà.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",tet-den-ca-nha-ve-que-tham-ba.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Tết ở nhà bà,Bà gói bánh chưng thật to.,👵🟩,"Tranh minh hoạ cho câu: “Bà gói bánh chưng thật to.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ba-goi-banh-chung-that-to.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Tết ở nhà bà,Em được bà lì xì một phong bao đỏ.,🧧👵,"Tranh minh hoạ cho câu: “Em được bà lì xì một phong bao đỏ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",em-duoc-ba-li-xi-mot-phong-bao-do.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Tết ở nhà bà,"Buổi tối, cả nhà xem pháo hoa.",🌙🎆,"Tranh minh hoạ cho câu: “Buổi tối, cả nhà xem pháo hoa.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",buoi-toi-ca-nha-xem-phao-hoa.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Tết ở nhà bà,Em ước năm mới ai cũng vui.,🌠😄,"Tranh minh hoạ cho câu: “Em ước năm mới ai cũng vui.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",em-uoc-nam-moi-ai-cung-vui.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ngày mưa,Hôm nay trời mưa to.,🌧️,"Tranh minh hoạ cho câu: “Hôm nay trời mưa to.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",hom-nay-troi-mua-to.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ngày mưa,Mưa rơi lộp bộp trên mái nhà.,🌧️🏠,"Tranh minh hoạ cho câu: “Mưa rơi lộp bộp trên mái nhà.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",mua-roi-lop-bop-tren-mai-nha.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ngày mưa,Em ngồi bên cửa sổ ngắm mưa.,🧒🌧️,"Tranh minh hoạ cho câu: “Em ngồi bên cửa sổ ngắm mưa.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",em-ngoi-ben-cua-so-ngam-mua.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ngày mưa,"Ngoài vườn, mấy chú ếch kêu ộp ộp.",🐸🌿,"Tranh minh hoạ cho câu: “Ngoài vườn, mấy chú ếch kêu ộp ộp.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ngoai-vuon-may-chu-ech-keu-op-op.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ngày mưa,"Một lúc sau, cầu vồng hiện ra.",🌈,"Tranh minh hoạ cho câu: “Một lúc sau, cầu vồng hiện ra.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",mot-luc-sau-cau-vong-hien-ra.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Chú mèo của em,Em có một chú mèo tên là Mun.,🐱,"Tranh minh hoạ cho câu: “Em có một chú mèo tên là Mun.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",em-co-mot-chu-meo-ten-la-mun.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Chú mèo của em,Bộ lông của Mun đen như than.,🐱⚫,"Tranh minh hoạ cho câu: “Bộ lông của Mun đen như than.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",bo-long-cua-mun-den-nhu-than.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Chú mèo của em,Mun thích ngủ cạnh em.,🐱😴,"Tranh minh hoạ cho câu: “Mun thích ngủ cạnh em.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",mun-thich-ngu-canh-em.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Chú mèo của em,Sáng nào Mun cũng kêu meo meo đòi ăn.,🐱🍽️,"Tranh minh hoạ cho câu: “Sáng nào Mun cũng kêu meo meo đòi ăn.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",sang-nao-mun-cung-keu-meo-meo-doi-an.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Chú mèo của em,Em rất yêu chú mèo nhỏ.,💖,"Tranh minh hoạ cho câu: “Em rất yêu chú mèo nhỏ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",em-rat-yeu-chu-meo-nho.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ở trường,Trường của em rất đẹp.,🏫,"Tranh minh hoạ cho câu: “Trường của em rất đẹp.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",truong-cua-em-rat-dep.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ở trường,Sân trường có nhiều cây xanh.,🏫🌳,"Tranh minh hoạ cho câu: “Sân trường có nhiều cây xanh.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",san-truong-co-nhieu-cay-xanh.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ở trường,"Giờ ra chơi, em nhảy dây cùng các bạn.",🤸🧒,"Tranh minh hoạ cho câu: “Giờ ra chơi, em nhảy dây cùng các bạn.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",gio-ra-choi-em-nhay-day-cung-cac-ban.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ở trường,Cô giáo dạy em một bài hát mới.,👩‍🏫🎵,"Tranh minh hoạ cho câu: “Cô giáo dạy em một bài hát mới.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",co-giao-day-em-mot-bai-hat-moi.png
2,Cảnh câu/truyện,4,Đọc đoạn văn ngắn,Ở trường,Em thích đi học mỗi ngày.,🧒🎒,"Tranh minh hoạ cho câu: “Em thích đi học mỗi ngày.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",em-thich-di-hoc-moi-ngay.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (1),Vua Hùng muốn chọn người nối ngôi.,🤴🤔,"Tranh minh hoạ cho câu: “Vua Hùng muốn chọn người nối ngôi.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",vua-hung-muon-chon-nguoi-noi-ngoi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (1),Vua bảo các con đi tìm món ngon nhất để dâng cúng tổ tiên.,🤴🍲,"Tranh minh hoạ cho câu: “Vua bảo các con đi tìm món ngon nhất để dâng cúng tổ tiên.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",vua-bao-cac-con-di-tim-mon-ngon-nhat-de-dang-cung-to-tien.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (1),Các hoàng tử tìm khắp nơi những của ngon vật lạ.,🏃🍗,"Tranh minh hoạ cho câu: “Các hoàng tử tìm khắp nơi những của ngon vật lạ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",cac-hoang-tu-tim-khap-noi-nhung-cua-ngon-vat-la.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (1),"Chỉ có Lang Liêu nghèo, chàng chẳng biết làm gì.",😟🌾,"Tranh minh hoạ cho câu: “Chỉ có Lang Liêu nghèo, chàng chẳng biết làm gì.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",chi-co-lang-lieu-ngheo-chang-chang-biet-lam-gi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (1),"Một đêm, thần báo mộng dạy chàng lấy gạo làm bánh.",🌙🌾,"Tranh minh hoạ cho câu: “Một đêm, thần báo mộng dạy chàng lấy gạo làm bánh.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",mot-dem-than-bao-mong-day-chang-lay-gao-lam-banh.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (2),"Lang Liêu làm bánh hình vuông, tượng trưng cho đất, gọi là bánh chưng.",🟩🌏,"Tranh minh hoạ cho câu: “Lang Liêu làm bánh hình vuông, tượng trưng cho đất, gọi là bánh chưng.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",lang-lieu-lam-banh-hinh-vuong-tuong-trung-cho-dat-goi-la-banh-chung.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (2),"Chàng làm bánh hình tròn, tượng trưng cho trời, gọi là bánh giầy.",⭕☁️,"Tranh minh hoạ cho câu: “Chàng làm bánh hình tròn, tượng trưng cho trời, gọi là bánh giầy.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",chang-lam-banh-hinh-tron-tuong-trung-cho-troi-goi-la-banh-giay.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (2),Vua Hùng nếm thử và rất khen ngon.,🤴😋,"Tranh minh hoạ cho câu: “Vua Hùng nếm thử và rất khen ngon.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",vua-hung-nem-thu-va-rat-khen-ngon.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (2),Vua chọn Lang Liêu nối ngôi.,🤴👑,"Tranh minh hoạ cho câu: “Vua chọn Lang Liêu nối ngôi.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",vua-chon-lang-lieu-noi-ngoi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích bánh chưng bánh giầy (2),"Từ đó, ngày Tết nhà nào cũng có bánh chưng.",🎊🟩,"Tranh minh hoạ cho câu: “Từ đó, ngày Tết nhà nào cũng có bánh chưng.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",tu-do-ngay-tet-nha-nao-cung-co-banh-chung.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (1),"Ngày xưa, có một cậu bé lên ba tuổi mà chưa biết nói.",👶🤐,"Tranh minh hoạ cho câu: “Ngày xưa, có một cậu bé lên ba tuổi mà chưa biết nói.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ngay-xua-co-mot-cau-be-len-ba-tuoi-ma-chua-biet-noi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (1),"Một hôm, giặc Ân đến xâm chiếm nước ta.",⚔️🏹,"Tranh minh hoạ cho câu: “Một hôm, giặc Ân đến xâm chiếm nước ta.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",mot-hom-giac-an-den-xam-chiem-nuoc-ta.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (1),"Nghe tiếng sứ giả của vua, cậu bé bỗng cất tiếng nói.",📢👶,"Tranh minh hoạ cho câu: “Nghe tiếng sứ giả của vua, cậu bé bỗng cất tiếng nói.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nghe-tieng-su-gia-cua-vua-cau-be-bong-cat-tieng-noi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (1),Cậu xin vua rèn cho một con ngựa sắt và một cây roi sắt.,🐎🔨,"Tranh minh hoạ cho câu: “Cậu xin vua rèn cho một con ngựa sắt và một cây roi sắt.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",cau-xin-vua-ren-cho-mot-con-ngua-sat-va-mot-cay-roi-sat.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (1),"Cả làng góp gạo nuôi cậu, cậu lớn nhanh như thổi.",🏘️🍚,"Tranh minh hoạ cho câu: “Cả làng góp gạo nuôi cậu, cậu lớn nhanh như thổi.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ca-lang-gop-gao-nuoi-cau-cau-lon-nhanh-nhu-thoi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (2),Cậu bé vươn vai thành một vị tướng khổng lồ.,🧒💪,"Tranh minh hoạ cho câu: “Cậu bé vươn vai thành một vị tướng khổng lồ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",cau-be-vuon-vai-thanh-mot-vi-tuong-khong-lo.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (2),"Chàng mặc áo giáp sắt, cưỡi ngựa sắt ra trận.",🛡️🐴,"Tranh minh hoạ cho câu: “Chàng mặc áo giáp sắt, cưỡi ngựa sắt ra trận.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",chang-mac-ao-giap-sat-cuoi-ngua-sat-ra-tran.png
